edgeId,value
b3311327a20bade5e63d6d95aec624b3,250.0
d2a3b37756d0e7001af06fa3a5e30d66,350.0
f63f1e576c981d1215af9c3cf9e6134f,90.0
8a1197dfc3b12b4e6fed9bf8f22dcd0c,139.9999989999001
89eb56f4f49e01047d09de96df05baee,310.0
f2c4c075daa7c5639de3819277df4896,209.0
6c898fc5f31e63094807a5e2887dbe35,250.0
4ee24d0a292f5f5ea7a72723f3abe579,27.137799000000086
f983a30c234ff35d9b5916db5ca6e5f8,10.78
ecdbc0888f0cc1d13a2a6dba5480d386,59.68
17c049d8f4f359031d84d15775cb8727,250.0
330e066da388be0ed284a2b2f380071b,49.82281399999849
f96fabd108b38ec13c86b132de34bc9d,27.137799000000086
47405961a5312692a4a731a3e6abfd92,205.42859999999897
3b245c9facd72d380c39523bf244fe9d,49.82281399999849
cac4a7cd77ab0bd72591decc9ee86846,51.4286
c3cf94e6e5cb5ced78edb31ae13af14c,104.5714
84d468a9502544cabcb56116de441e7e,49.82281399999849
